72269 function calls (71874 primitive calls) in 14.067 seconds
Ordered by: cumulative time
   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 \prographing_project\sources\utils.py:27(__lt__)
        1    0.000    0.000    0.000    0.000 \lib\os.py:746(encodekey)
        2    0.000    0.000    0.000    0.000 \lib\ntpath.py:34(_get_bothseps)
       17    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        1    0.000    0.000    0.000    0.000 \lib\tkinter\filedialog.py:299(_fixoptions)
        1    0.000    0.000    0.000    0.000 \lib\tkinter\commondialog.py:17(__init__)
        1    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_source_file.py:14(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        3    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1287(_getints)
        1    0.000    0.000    0.000    0.000 {method 'wantobjects' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 \lib\os.py:740(check_str)
        4    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1498(__str__)
        3    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 \lib\codecs.py:260(__init__)
        2    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_mouse_binding.py:11(assign_canvasFrame)
        1    0.000    0.000    0.000    0.000 \lib\codecs.py:281(getstate)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


With debug logging:
403855 function calls (403324 primitive calls) in 112.743 seconds
Ordered by: cumulative time
   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  112.743  112.743 main.py:12(main)
        1    0.000    0.000  112.656  112.656 \lib\tkinter\__init__.py:1281(mainloop)
        1  111.014  111.014  112.656  112.656 {method 'mainloop' of '_tkinter.tkapp' objects}
      152    0.001    0.000    1.642    0.011 \lib\tkinter\__init__.py:1700(__call__)
    13497    1.453    0.000    1.453    0.000 {method 'call' of '_tkinter.tkapp' objects}
        1    0.000    0.000    1.329    1.329 \prographing_project\sources\gp_ui.py:83(<lambda>)
        1    0.000    0.000    1.329    1.329 \prographing_project\sources\gp_ui.py:29(open)
        1    0.000    0.000    1.325    1.325 \lib\tkinter\commondialog.py:29(show)
      149    0.005    0.000    0.234    0.002 \prographing_project\sources\gp_canvas.py:16(draw)
      148    0.000    0.000    0.232    0.002 \prographing_project\sources\gp_mouse_binding.py:16(redraw)
    13396    0.020    0.000    0.159    0.000 \lib\tkinter\__init__.py:2470(_create)
     4657    0.012    0.000    0.155    0.000 \prographing_project\sources\gp_canvas.py:38(drawBlock)
       57    0.001    0.000    0.086    0.002 \prographing_project\sources\gp_mouse_binding.py:142(b1_motion)
     4657    0.002    0.000    0.081    0.000 \lib\tkinter\__init__.py:2502(create_text)
        1    0.000    0.000    0.077    0.077 \lib\tkinter\__init__.py:2003(__init__)
        1    0.077    0.077    0.077    0.077 {built-in method _tkinter.create}
     3874    0.010    0.000    0.068    0.000 \prographing_project\sources\gp_canvas.py:63(drawLink)
       29    0.000    0.000    0.052    0.002 \prographing_project\sources\gp_mouse_binding.py:202(wheel)
       31    0.000    0.000    0.050    0.002 \prographing_project\sources\gp_mouse_binding.py:166(b1_release)
    13453    0.019    0.000    0.046    0.000 \lib\tkinter\__init__.py:1315(_options)
     4657    0.001    0.000    0.042    0.000 \lib\tkinter\__init__.py:2493(create_oval)
       13    0.000    0.000    0.042    0.003 \prographing_project\sources\gp_mouse_binding.py:101(b1_double)
    12405    0.008    0.000    0.041    0.000 \prographing_project\sources\gp_canvas.py:32(scale)
       18    0.000    0.000    0.038    0.002 \prographing_project\sources\gp_mouse_binding.py:72(b1)
     3874    0.001    0.000    0.033    0.000 \lib\tkinter\__init__.py:2490(create_line)
        1    0.000    0.000    0.031    0.031 \lib\tkinter\__init__.py:2058(destroy)
       31    0.002    0.000    0.030    0.001 \prographing_project\sources\gp_mouse_binding.py:58(find_block)
    13523    0.008    0.000    0.029    0.000 \prographing_project\sources\utils.py:18(__sub__)
     27/5    0.000    0.000    0.027    0.005 \lib\tkinter\__init__.py:2302(destroy)
     1208    0.000    0.000    0.025    0.000 \prographing_project\sources\utils.py:47(debug_return)
     1212    0.025    0.000    0.025    0.000 {built-in method builtins.print}
    13480    0.014    0.000    0.022    0.000 \lib\tkinter\__init__.py:96(_cnfmerge)
    26084    0.011    0.000    0.015    0.000 \prographing_project\sources\utils.py:12(__mul__)
    13523    0.004    0.000    0.013    0.000 \prographing_project\sources\utils.py:15(__neg__)
        1    0.000    0.000    0.010    0.010 \prographing_project\sources\gp_ui.py:63(ui_init)
      148    0.003    0.000    0.009    0.000 \lib\tkinter\__init__.py:1388(_substitute)
    13679    0.006    0.000    0.008    0.000 \prographing_project\sources\utils.py:9(__add__)
    67090    0.007    0.000    0.007    0.000 {built-in method builtins.isinstance}
      208    0.000    0.000    0.006    0.000 \lib\tkinter\__init__.py:2499(create_rectangle)
    40033    0.006    0.000    0.006    0.000 \prographing_project\sources\utils.py:5(__init__)
       27    0.000    0.000    0.006    0.000 \lib\tkinter\__init__.py:2286(__init__)
    26877    0.004    0.000    0.004    0.000 {method 'update' of 'dict' objects}
       13    0.000    0.000    0.004    0.000 \lib\tkinter\__init__.py:2861(__init__)
    15320    0.004    0.000    0.004    0.000 {method 'getint' of '_tkinter.tkapp' objects}
     1046    0.003    0.000    0.004    0.000 \prographing_project\sources\gp_source_file.py:135(convertToStr)
        1    0.000    0.000    0.004    0.004 \lib\tkinter\__init__.py:1478(configure)
        1    0.000    0.000    0.004    0.004 \lib\tkinter\__init__.py:1466(_configure)
        1    0.000    0.000    0.004    0.004 \prographing_project\sources\gp_ui.py:89(<lambda>)
        1    0.000    0.000    0.004    0.004 \prographing_project\sources\gp_source_file.py:65(build)
    40/14    0.000    0.000    0.004    0.000 \prographing_project\sources\gp_source_file.py:164(build)
       40    0.001    0.000    0.003    0.000 \prographing_project\sources\utils.py:91(getSettingsByLang)
    26836    0.003    0.000    0.003    0.000 {built-in method _tkinter._flatten}
     1628    0.001    0.000    0.003    0.000 \lib\tkinter\__init__.py:1394(getint_event)
 1440/960    0.002    0.000    0.002    0.000 \prographing_project\sources\utils.py:117(dictMerge)
        1    0.000    0.000    0.002    0.002 \prographing_project\sources\gp_source_file.py:40(open)
    12405    0.002    0.000    0.002    0.000 \prographing_project\sources\utils.py:41(tuple)
    22833    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
    18469    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 \prographing_project\sources\utils.py:86(placeButtons)
      148    0.001    0.000    0.001    0.000 \lib\tkinter\__init__.py:1340(nametowidget)
       54    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        9    0.000    0.000    0.001    0.000 \lib\tkinter\__init__.py:2350(__init__)
      960    0.000    0.000    0.001    0.000 \prographing_project\sources\utils.py:117(<lambda>)
     1006    0.001    0.000    0.001    0.000 \prographing_project\sources\utils.py:35(abs)
      960    0.000    0.000    0.001    0.000 \prographing_project\sources\utils.py:112(normalMerge)
      148    0.000    0.000    0.001    0.000 \lib\enum.py:289(__call__)
       40    0.000    0.000    0.001    0.000 \prographing_project\sources\gp_source_file.py:92(__init__)
       27    0.000    0.000    0.001    0.000 \prographing_project\sources\gp_source_file.py:140(parseFromStr)
      156    0.000    0.000    0.001    0.000 \prographing_project\sources\gp_canvas.py:35(unscale)
     1064    0.001    0.000    0.001    0.000 \prographing_project\sources\utils.py:21(__str__)
      4/1    0.000    0.000    0.000    0.000 \prographing_project\sources\utils.py:76(createMenu)
      296    0.000    0.000    0.000    0.000 {method 'getboolean' of '_tkinter.tkapp' objects}
       67    0.000    0.000    0.000    0.000 \prographing_project\sources\utils.py:44(round)
      148    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1379(_root)
      148    0.000    0.000    0.000    0.000 \lib\enum.py:531(__new__)
      881    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      480    0.000    0.000    0.000    0.000 \prographing_project\sources\utils.py:142(getDictValByPath)
        1    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_ui.py:90(<lambda>)
        1    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_source_file.py:22(save)
     1092    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2067(readprofile)
      134    0.000    0.000    0.000    0.000 {built-in method builtins.round}
     1791    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      240    0.000    0.000    0.000    0.000 \prographing_project\sources\utils.py:153(createDictByPath)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        4    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2730(__init__)
       32    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1357(_register)
       28    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:584(destroy)
       12    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2875(add)
       10    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2125(pack_configure)
       40    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_source_file.py:58(parents)
        9    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2885(add_command)
       27    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2253(_setup)
        4    0.000    0.000    0.000    0.000 \lib\genericpath.py:27(isfile)
        4    0.000    0.000    0.000    0.000 {built-in method nt.stat}
       13    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1212(bind)
       34    0.000    0.000    0.000    0.000 {method 'deletecommand' of '_tkinter.tkapp' objects}
       13    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1195(_bind)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 \lib\tkinter\filedialog.py:330(_fixresult)
        1    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2395(__init__)
        3    0.000    0.000    0.000    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2033(_loadtk)
       40    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_source_file.py:154(<lambda>)
       40    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_source_file.py:197(sortChilds)
        1    0.000    0.000    0.000    0.000 \lib\tkinter\filedialog.py:306(_fixresult)
       40    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_source_file.py:156(formatStr)
        2    0.000    0.000    0.000    0.000 \lib\ntpath.py:178(split)
        3    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1578(_grid_configure)
       34    0.000    0.000    0.000    0.000 {method 'createcommand' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1956(wm_protocol)
        1    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1983(wm_title)
      480    0.000    0.000    0.000    0.000 \prographing_project\sources\utils.py:109(<lambda>)
       40    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       10    0.000    0.000    0.000    0.000 \lib\ntpath.py:122(splitdrive)
        1    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1599(grid_columnconfigure)
        3    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2209(grid_configure)
        3    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2879(add_cascade)
        4    0.000    0.000    0.000    0.000 \lib\ntpath.py:75(join)
       27    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2295(<listcomp>)
        2    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1626(grid_rowconfigure)
      240    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        1    0.000    0.000    0.000    0.000 \lib\ntpath.py:212(basename)
       27    0.000    0.000    0.000    0.000 \prographing_project\sources\utils.py:38(fromTuple)
        2    0.000    0.000    0.000    0.000 \lib\encodings\cp1251.py:22(decode)
       32    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1695(__init__)
        1    0.000    0.000    0.000    0.000 \lib\_collections_abc.py:664(__contains__)
        1    0.000    0.000    0.000    0.000 \lib\_bootlocale.py:11(getpreferredencoding)
        2    0.000    0.000    0.000    0.000 {method 'getvar' of '_tkinter.tkapp' objects}
       81    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       28    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 \lib\os.py:676(__getitem__)
       40    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_source_file.py:153(formatStrOp)
       32    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        2    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_decode}
       26    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_source_file.py:198(<lambda>)
        1    0.000    0.000    0.000    0.000 \lib\ntpath.py:201(splitext)
       28    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       27    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1936(wm_minsize)
        1    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
        1    0.000    0.000    0.000    0.000 \lib\genericpath.py:121(_splitext)
        1    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_canvas.py:8(__init__)
       34    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       27    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       32    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 \lib\os.py:746(encodekey)
